id	hash	cluster
0	9626692150078006324	-1
1	2100150268992332469	-1
2	7599326330174612235	-1
3	15327714751614515006	-1
4	15557952876409339145	-1
5	9289138209600986180	-1
10	2998901507292156880	-1
11	7012816639214931049	-1
12	11722293872531206947	-1
13	4072296957602226421	-1
17	16205504214568122430	-1
18	12604909028314905363	-1
19	835315443631158839	-1
20	4251605215925026770	-1
22	5700257143425140006	-1
23	152710965512632293	-1
25	2537266750678646511	-1
26	5030748991758767578	-1
27	7523412676044415495	-1
29	13044978419480816322	-1
30	9141028681720431057	-1
33	15943718799241215044	-1
35	16986187629477773797	-1
36	14166928849959510055	-1
38	17343837952553061655	-1
41	13080813878182971679	-1
46	6198242971796521910	-1
47	11003658722146678844	-1
48	17387979815597381120	-1
49	17251364544747852611	-1
51	9794088575022574499	-1
52	13623217005692077426	-1
53	464832425749685752	-1
54	17557395539870084021	-1
55	13103964746672870688	-1
56	5010594258467919209	-1
59	1162883264071400240	-1
61	267891135571045870	-1
62	13349423244464088328	-1
65	2644444773456230876	-1
67	1859858040363975134	-1
69	46193448065718189	-1
71	3150305270842516470	-1
72	5443087080155675023	-1
73	10928994873795686901	-1
74	14418457244535886545	-1
75	423181750243327422	-1
76	10416299041829721340	-1
77	11513447389571037579	-1
79	16566271313652159521	-1
81	511637903389612436	-1
82	1923156206454066035	-1
83	1180498360903598560	-1
84	2589901549498815079	-1
85	15971339580693392798	-1
86	14820470640212849024	-1
87	6912351443348916300	-1
88	6573021127869513615	-1
90	9208388505213462985	-1
91	3440196607511838242	-1
93	3316551231923350341	-1
94	1557973834023149506	-1
96	1851441164954949410	-1
98	6918894136926485885	-1
99	12880685748922650178	-1
100	3582150237863169009	-1
101	822488180494052639	-1
102	15370108382256044900	-1
103	7920039020625427990	-1
106	13260189475453311704	-1
110	9852596150856785738	-1
112	14203827270643963259	-1
114	11187787288571013589	-1
115	14363021030857559835	-1
116	17129090005797327400	-1
117	2277458957070552886	-1
119	4475552912334436848	-1
120	8112781769890429730	-1
121	1169578572716990586	-1
122	1277464052902435716	-1
124	10920225528817687381	-1
125	6803025580761321527	-1
127	12851212721962295690	-1
129	9514281193807812120	-1
130	9546824798864129622	-1
132	1294981344239823322	-1
134	11959784187259377485	-1
135	2158055413689351639	-1
136	10909896408386097294	-1
137	10501891059521952135	-1
138	3252983237144091793	-1
140	6346846622448490850	-1
141	12412761470957044496	-1
142	8310430414659720981	-1
144	14095529665183710091	-1
146	953266688213503538	-1
147	2406747099040085591	-1
148	275196289749393795	-1
149	13521699375230727777	-1
150	4708576936988334935	-1
152	9738599965590659423	-1
154	1130939983019080409	-1
155	1493598827602217370	-1
156	2404982658506443186	-1
159	3087779317883625177	-1
